fips,countyname,state,type,typename,death,obesity,uninsured,childpoverty,longcomute,overdose,income,nhwhite
22063,Livingston Parish,LA,1,Exurbs,9440.860783,0.342,0.12052009,0.168,0.593,13,58318,0.879868415
22075,Plaquemines Parish,LA,1,Exurbs,8245.069944,0.334,0.148268239,0.2,0.384,11,55950,0.649889192
22103,St. Tammany Parish,LA,1,Exurbs,7239.579248,0.294,0.119796577,0.13,0.463,14,65861,0.790388088
24003,Anne Arundel County,MD,1,Exurbs,6148.769595,0.291,0.057244622,0.093,0.447,10,95297,0.690654988
24011,Caroline County,MD,1,Exurbs,9459.01798,0.37,0.087188287,0.221,0.466,9,49616,0.761004566
24013,Carroll County,MD,1,Exurbs,5908.110903,0.294,0.04353897,0.065,0.576,10,89529,0.895697142
24015,Cecil County,MD,1,Exurbs,8340.42156,0.301,0.061738145,0.149,0.441,15,70504,0.853854176
24021,Frederick County,MD,1,Exurbs,5313.868078,0.284,0.056937765,0.074,0.476,6,89541,0.743888106
24025,Harford County,MD,1,Exurbs,5806.255548,0.286,0.044009582,0.085,0.497,11,83595,0.767204978
24035,Queen Anne's County,MD,1,Exurbs,6668.72831,0.292,0.058254136,0.094,0.545,9,79966,0.867399702
24041,Talbot County,MD,1,Exurbs,6233.277704,0.283,0.082433326,0.16,0.312,7,62264,0.780084769
25023,Plymouth County,MA,1,Exurbs,6073.753837,0.288,0.026710321,0.106,0.463,11,81483,0.828952518
26037,Clinton County,MI,1,Exurbs,5030.076427,0.298,0.052062944,0.099,0.279,5,66396,0.901204293
27003,Anoka County,MN,1,Exurbs,4731.163295,0.305,0.044698205,0.092,0.443,5,76497,0.822044358
27019,Carver County,MN,1,Exurbs,3469.963645,0.223,0.03117677,0.039,0.393,3,94057,0.893648641
27025,Chisago County,MN,1,Exurbs,4992.339934,0.304,0.041946493,0.078,0.532,5,74908,0.937221451
27037,Dakota County,MN,1,Exurbs,4218.929536,0.273,0.040682302,0.072,0.338,5,79111,0.794441011
27059,Isanti County,MN,1,Exurbs,5594.175819,0.309,0.045165865,0.106,0.542,5,68303,0.943010891
27095,Mille Lacs County,MN,1,Exurbs,7888.651675,0.349,0.067653891,0.173,0.437,7,53407,0.892793629
27109,Olmsted County,MN,1,Exurbs,4305.887509,0.27,0.042030024,0.099,0.11,5,72511,0.810472757
27139,Scott County,MN,1,Exurbs,3532.146437,0.249,0.040827338,0.066,0.398,4,91046,0.82030206
27141,Sherburne County,MN,1,Exurbs,4900.308449,0.29,0.041293644,0.073,0.515,5,83304,0.916281755
27163,Washington County,MN,1,Exurbs,4069.983291,0.253,0.033906763,0.053,0.389,5,90755,0.834025372
27171,Wright County,MN,1,Exurbs,4312.832137,0.289,0.039020936,0.057,0.498,4,76256,0.928117691
28033,DeSoto County,MS,1,Exurbs,7119.730767,0.322,0.106923016,0.146,0.377,6,64138,0.65684382
28045,Hancock County,MS,1,Exurbs,8801.772043,0.339,0.167384567,0.267,0.441,15,45369,0.847684384
28073,Lamar County,MS,1,Exurbs,7706.399595,0.335,0.132273636,0.185,0.278,6,57419,0.741504416
28121,Rankin County,MS,1,Exurbs,6993.54128,0.31,0.11390479,0.142,0.401,7,62284,0.745726496
29027,Callaway County,MO,1,Exurbs,7684.009019,0.355,0.108253968,0.173,0.291,9,53186,0.900572341
29037,Cass County,MO,1,Exurbs,6789.811961,0.327,0.091558564,0.117,0.486,6,64422,0.883339005
29043,Christian County,MO,1,Exurbs,5853.694062,0.294,0.108342515,0.144,0.406,7,54273,0.935166645
29047,Clay County,MO,1,Exurbs,5959.10263,0.318,0.093347956,0.113,0.304,6,65973,0.81629546
29049,Clinton County,MO,1,Exurbs,7286.42763,0.345,0.102530747,0.145,0.531,10,58371,0.938185347
29099,Jefferson County,MO,1,Exurbs,7724.878063,0.317,0.107955019,0.13,0.537,12,61508,0.946545004
29113,Lincoln County,MO,1,Exurbs,7506.252485,0.328,0.122636926,0.151,0.561,8,56833,0.932020917
29165,Platte County,MO,1,Exurbs,4936.098267,0.344,0.079099996,0.076,0.326,6,77933,0.816201975
29183,St. Charles County,MO,1,Exurbs,5199.909587,0.259,0.070053675,0.065,0.383,7,80696,0.8751861
29219,Warren County,MO,1,Exurbs,7881.296988,0.3,0.11960181,0.186,0.506,11,54756,0.917430921
29225,Webster County,MO,1,Exurbs,7881.151068,0.335,0.147891654,0.252,0.524,8,46989,0.943604682
30043,Jefferson County,MT,1,Exurbs,5276.511807,0.281,0.110800645,0.112,0.224,10,62734,0.9295537
32001,Churchill County,NV,1,Exurbs,7316.084601,0.252,0.139846547,0.207,0.174,12,50292,0.739441276
32005,Douglas County,NV,1,Exurbs,6392.243726,0.228,0.119198551,0.154,0.308,11,61988,0.809808413
32019,Lyon County,NV,1,Exurbs,8878.459706,0.34,0.143188126,0.197,0.491,9,51344,0.754997273
32029,Storey County,NV,1,Exurbs,5129.390767,0.262,0.091713881,0.138,0.593,14,60066,0.849419896
33011,Hillsborough County,NH,1,Exurbs,6106.84242,0.281,0.078606971,0.086,0.387,9,75997,0.855353994
33013,Merrimack County,NH,1,Exurbs,6106.272024,0.287,0.075042831,0.078,0.378,8,69320,0.930678009
33015,Rockingham County,NH,1,Exurbs,5179.002652,0.271,0.061139332,0.048,0.449,8,82016,0.930493222
34005,Burlington County,NJ,1,Exurbs,5796.702356,0.282,0.058796018,0.083,0.403,8,80081,0.679214038
34015,Gloucester County,NJ,1,Exurbs,6537.204095,0.309,0.066127295,0.092,0.473,12,79332,0.788879007
34019,Hunterdon County,NJ,1,Exurbs,4219.424759,0.214,0.046751771,0.044,0.53,5,113336,0.859066701
34033,Salem County,NJ,1,Exurbs,8842.525198,0.336,0.08009876,0.208,0.357,11,56071,0.750204931
34037,Sussex County,NJ,1,Exurbs,5460.25805,0.276,0.061312758,0.068,0.574,7,87549,0.867816898
34041,Warren County,NJ,1,Exurbs,6020.137009,0.279,0.081307903,0.113,0.554,6,74834,0.824465142
35043,Sandoval County,NM,1,Exurbs,7143.66837,0.238,0.108673867,0.186,0.483,10,58621,0.442400986
36091,Saratoga County,NY,1,Exurbs,4609.465068,0.271,0.049206222,0.077,0.369,4,75904,0.907501773
37025,Cabarrus County,NC,1,Exurbs,6415.179564,0.31,0.110026884,0.161,0.417,8,63059,0.67182896
37029,Camden County,NC,1,Exurbs,5420.202507,0.311,0.107880032,0.109,0.441,8,65415,0.799673642
37037,Chatham County,NC,1,Exurbs,6195.370017,0.256,0.150876331,0.174,0.456,5,63303,0.722852041
37053,Currituck County,NC,1,Exurbs,7047.175926,0.276,0.122498826,0.157,0.618,7,57570,0.874384905
37097,Iredell County,NC,1,Exurbs,7222.511659,0.312,0.117978973,0.141,0.329,8,56325,0.763104629
37101,Johnston County,NC,1,Exurbs,6764.069966,0.352,0.137056153,0.192,0.478,6,55174,0.685928441
37109,Lincoln County,NC,1,Exurbs,7046.38005,0.293,0.135886075,0.176,0.506,10,50714,0.851456239
37179,Union County,NC,1,Exurbs,5589.358548,0.283,0.11337973,0.121,0.467,5,72548,0.728012498
39041,Delaware County,OH,1,Exurbs,3820.874565,0.273,0.040965709,0.047,0.426,5,102990,0.859434092
39159,Union County,OH,1,Exurbs,5442.126343,0.332,0.056561833,0.072,0.367,6,78796,0.904737003
39165,Warren County,OH,1,Exurbs,5357.209878,0.31,0.048240108,0.061,0.373,8,81543,0.869005518
40017,Canadian County,OK,1,Exurbs,6664.480779,0.335,0.112401889,0.106,0.325,7,68291,0.77002461
40083,Logan County,OK,1,Exurbs,7116.382272,0.317,0.137557093,0.198,0.525,7,54305,0.776401649
40131,Rogers County,OK,1,Exurbs,7872.472231,0.316,0.124325178,0.128,0.384,8,62622,0.723732101
40145,Wagoner County,OK,1,Exurbs,7884.55347,0.339,0.146027965,0.156,0.393,11,61882,0.720104533
41005,Clackamas County,OR,1,Exurbs,5185.548167,0.272,0.061927529,0.107,0.429,7,74460,0.825580427
41071,Yamhill County,OR,1,Exurbs,5491.186626,0.281,0.092826117,0.158,0.394,6,60643,0.776379302
42017,Bucks County,PA,1,Exurbs,5483.034839,0.265,0.05799902,0.08,0.415,11,80132,0.845655884
42029,Chester County,PA,1,Exurbs,4598.348234,0.223,0.063714383,0.075,0.419,7,92551,0.799820651
42089,Monroe County,PA,1,Exurbs,7135.04172,0.311,0.085333314,0.176,0.456,9,59574,0.670351238
